Date,FC,Reference ID,Fee Type,Notes,Store Order ID,GST Rate,Amount,GST,Total (incl. GST)
01/05/26 01:03:10,Twin Lakes (WI),327909737,Shipping,9200190244541407167473,508095,0%,$ 6.01,$ 0,$ 6.01
01/05/26 01:06:21,Twin Lakes (WI),334270778,Shipping,9200190244541407167947,516831,0%,$ 5.85,$ 0,$ 5.85
01/05/26 01:06:56,Twin Lakes (WI),334265264,Shipping,CR000468220096,516835,0%,$ 6.07,$ 0,$ 6.07
01/05/26 01:07:49,Twin Lakes (WI),334270768,Shipping,CR000468220582,516832,0%,$ 6.07,$ 0,$ 6.07
01/05/26 01:08:32,Twin Lakes (WI),334265413,Shipping,TBA327601820270,516836,0%,$ 7.05,$ 0,$ 7.05
01/05/26 01:09:25,Twin Lakes (WI),334270668,Shipping,TBA327601833646,516844,0%,$ 6.01,$ 0,$ 6.01
01/05/26 01:09:59,Twin Lakes (WI),334278963,Shipping,42819990448940d06,516850,0%,$ 6.21,$ 0,$ 6.21
01/05/26 01:10:47,Twin Lakes (WI),334273297,Shipping,TBA327601852355,516852,0%,$ 6.21,$ 0,$ 6.21
01/05/26 01:11:26,Twin Lakes (WI),334274447,Shipping,CR000468228037,516856,0%,$ 6.22,$ 0,$ 6.22
01/05/26 01:12:09,Twin Lakes (WI),334285747,Shipping,CR000468286629,516862,0%,$ 6.07,$ 0,$ 6.07
01/05/26 01:12:44,Twin Lakes (WI),334271835,Shipping,CR000468286304,516834,0%,$ 5.9,$ 0,$ 5.9
01/05/26 01:27:47,Twin Lakes (WI),334271246,Shipping,CR000468295564,516848,0%,$ 5.92,$ 0,$ 5.92
01/05/26 01:30:29,Wind Gap 2 (PA),333313353,Shipping,UUS6152760810167423,113137,0%,$ 5.64,$ 0,$ 5.64
01/05/26 01:30:52,Twin Lakes (WI),334304549,Shipping,6572070455,516900,0%,$ 3.95,$ 0,$ 3.95
01/05/26 01:30:58,Wind Gap 2 (PA),333815265,Shipping,420293769261290367770257548295,114-1776606-4569847,0%,$ 5.68,$ 0,$ 5.68
01/05/26 01:31:45,Twin Lakes (WI),334308172,Shipping,8088354536,516906,0%,$ 3.95,$ 0,$ 3.95
01/05/26 01:31:53,Wind Gap 2 (PA),333632356,Shipping,CR000468261491,113171,0%,$ 5.68,$ 0,$ 5.68
01/05/26 01:32:17,Wind Gap 2 (PA),333464795,Shipping,420656569261290367770257543573,113148,0%,$ 5.85,$ 0,$ 5.85
01/05/26 01:32:35,Twin Lakes (WI),334319047,Shipping,8088357745,516926,0%,$ 3.95,$ 0,$ 3.95
01/05/26 01:32:41,Twin Lakes (WI),334278958,Shipping,CR000468262680,516849,0%,$ 6.07,$ 0,$ 6.07
01/05/26 01:32:47,Wind Gap 2 (PA),333633713,Shipping,UUS6152760810185834,113170,0%,$ 5.64,$ 0,$ 5.64
01/05/26 01:33:22,Twin Lakes (WI),334286631,Shipping,CR000468264285,516874,0%,$ 6.12,$ 0,$ 6.12
01/05/26 01:33:22,Wind Gap 2 (PA),333870508,Shipping,CR000468264267,113-7143896-3634637,0%,$ 5.68,$ 0,$ 5.68
01/05/26 01:33:39,Twin Lakes (WI),334326444,Shipping,6572082090,516943,0%,$ 3.95,$ 0,$ 3.95
01/05/26 01:33:51,Wind Gap 2 (PA),333938586,Shipping,CR000468263946,111-1005779-7181839,0%,$ 5.64,$ 0,$ 5.64
01/05/26 01:34:01,Twin Lakes (WI),334275908,Shipping,TBA327602195155,516858,0%,$ 6.07,$ 0,$ 6.07
01/05/26 01:34:30,Twin Lakes (WI),334352153,Shipping,6572085726,516983,0%,$ 3.95,$ 0,$ 3.95
01/05/26 01:35:08,Wind Gap 2 (PA),333744219,Shipping,CR000468260764,113180,0%,$ 5.58,$ 0,$ 5.58
01/05/26 01:36:51,Twin Lakes (WI),334441149,Shipping,6572094491,517124,0%,$ 3.95,$ 0,$ 3.95
01/05/26 01:36:56,Twin Lakes (WI),334263897,Shipping,1681144286,516833,0%,$ 3.95,$ 0,$ 3.95
01/05/26 01:37:01,Wind Gap 2 (PA),333808342,Shipping,CR000468269898,113197,0%,$ 5.75,$ 0,$ 5.75
01/05/26 01:37:28,Wind Gap 2 (PA),333788393,Shipping,TBA327602251198,112-8292675-6957018,0%,$ 5.64,$ 0,$ 5.64
01/05/26 01:38:07,Twin Lakes (WI),334499326,Shipping,1681148475,517146,0%,$ 3.95,$ 0,$ 3.95
01/05/26 01:38:15,Twin Lakes (WI),334274304,Shipping,1681149002,516855,0%,$ 3.95,$ 0,$ 3.95
01/05/26 01:38:40,Wind Gap 2 (PA),334249965,Shipping,CR000468273811,113-4328980-4685867,0%,$ 5.68,$ 0,$ 5.68
01/05/26 01:39:28,Twin Lakes (WI),334516387,Shipping,1681154134,517156,0%,$ 3.95,$ 0,$ 3.95
01/05/26 01:40:25,Twin Lakes (WI),334526492,Shipping,1681158172,517166,0%,$ 3.95,$ 0,$ 3.95
01/05/26 01:41:19,Twin Lakes (WI),334421448,Shipping,1681164166,517094,0%,$ 3.95,$ 0,$ 3.95
01/05/26 01:42:19,Wind Gap 2 (PA),333711881,Shipping,CR000468278016,113174,0%,$ 5.58,$ 0,$ 5.58
01/05/26 01:42:31,Twin Lakes (WI),334433908,Shipping,1681168532,517114,0%,$ 3.95,$ 0,$ 3.95
01/05/26 01:42:44,Wind Gap 2 (PA),333717923,Shipping,420284439261290367770257534564,113176,0%,$ 5.68,$ 0,$ 5.68
01/05/26 01:43:40,Twin Lakes (WI),334527390,Shipping,1681172850,517168,0%,$ 3.95,$ 0,$ 3.95
01/05/26 01:43:58,Twin Lakes (WI),334272341,Shipping,6572126175,516851,0%,$ 3.95,$ 0,$ 3.95
01/05/26 01:44:07,Wind Gap 2 (PA),333717926,Shipping,420284439261290367770257575703,113175,0%,$ 5.68,$ 0,$ 5.68
01/05/26 01:44:33,Wind Gap 2 (PA),333987405,Shipping,CR000468706789,113219,0%,$ 5.68,$ 0,$ 5.68
01/05/26 01:44:57,Twin Lakes (WI),334296401,Shipping,6572129675,516888,0%,$ 3.95,$ 0,$ 3.95
01/05/26 01:45:08,Wind Gap 2 (PA),333884980,Shipping,420655369261290367770257539712,113-5932393-4066601,0%,$ 5.75,$ 0,$ 5.75
01/05/26 01:45:30,Twin Lakes (WI),334273945,Shipping,1681178973,516853,0%,$ 3.95,$ 0,$ 3.95
01/05/26 01:45:43,Wind Gap 2 (PA),334228959,Shipping,420560829261290367770257543597,,0%,$ 5.75,$ 0,$ 5.75
01/05/26 01:46:15,Twin Lakes (WI),334512334,Shipping,6572134074,517153,0%,$ 3.95,$ 0,$ 3.95
01/05/26 01:46:17,Wind Gap 2 (PA),333751599,Shipping,420243269261290367770257539729,113184,0%,$ 5.68,$ 0,$ 5.68
01/05/26 01:48:14,Twin Lakes (WI),334296766,Shipping,6572141623,516890,0%,$ 3.95,$ 0,$ 3.95
