Date,FC,Inventory ID,Location,Description,GST Rate,Amount,GST,Total (incl. GST)
12/01/25 12:00:00,Twin Lakes (WI),21061722,Bin,FulfillmentCenter = Twin Lakes (WI) | 1 bin(s) @$4/month/bin,0%,$ 0.129,$ 0,$ 0.129
12/01/25 12:00:00,Twin Lakes (WI),20101229,Pallet,FulfillmentCenter = Twin Lakes (WI) | 1 pallet(s) @$30/month/pallet,0%,$ 0.9677,$ 0,$ 0.9677
12/01/25 12:00:00,Twin Lakes (WI),20114280,Shelf,FulfillmentCenter = Twin Lakes (WI) | 1 shelf(s) @$8/month/shelf,0%,$ 0.2581,$ 0,$ 0.2581
12/01/25 12:00:00,Twin Lakes (WI),20356746,Bin,FulfillmentCenter = Twin Lakes (WI) | 4 bin(s) @$4/month/bin,0%,$ 0.5161,$ 0,$ 0.5161
12/01/25 12:00:00,Ontario 6 (CA),20101221,Shelf,FulfillmentCenter = Ontario 6 (CA) | 1 shelf(s) @$8/month/shelf,0%,$ 0.2581,$ 0,$ 0.2581
12/01/25 12:00:00,Ontario 6 (CA),20101221,Pallet,FulfillmentCenter = Ontario 6 (CA) | 1 pallet(s) @$30/month/pallet,0%,$ 0.9677,$ 0,$ 0.9677
12/01/25 12:00:00,Twin Lakes (WI),20988622,Pallet,FulfillmentCenter = Twin Lakes (WI) | 4 pallet(s) @$30/month/pallet,0%,$ 3.871,$ 0,$ 3.871
12/01/25 12:00:00,Ontario 6 (CA),20356746,Bin,FulfillmentCenter = Ontario 6 (CA) | 1 bin(s) @$4/month/bin,0%,$ 0.129,$ 0,$ 0.129
12/01/25 12:00:00,Twin Lakes (WI),20578075,Bin,FulfillmentCenter = Twin Lakes (WI) | 1 bin(s) @$4/month/bin,0%,$ 0.129,$ 0,$ 0.129
12/01/25 12:00:00,Twin Lakes (WI),20114278,Shelf,FulfillmentCenter = Twin Lakes (WI) | 1 shelf(s) @$8/month/shelf,0%,$ 0.2581,$ 0,$ 0.2581
12/01/25 12:00:00,Twin Lakes (WI),20101228,Pallet,FulfillmentCenter = Twin Lakes (WI) | 1 pallet(s) @$30/month/pallet,0%,$ 0.9677,$ 0,$ 0.9677
12/01/25 12:00:00,Ontario 6 (CA),20101228,Pallet,FulfillmentCenter = Ontario 6 (CA) | 1 pallet(s) @$30/month/pallet,0%,$ 0.9677,$ 0,$ 0.9677
12/01/25 12:00:00,Twin Lakes (WI),20988578,Pallet,FulfillmentCenter = Twin Lakes (WI) | 3 pallet(s) @$30/month/pallet,0%,$ 2.9032,$ 0,$ 2.9032
12/01/25 12:00:00,Twin Lakes (WI),20114276,Shelf,FulfillmentCenter = Twin Lakes (WI) | 1 shelf(s) @$8/month/shelf,0%,$ 0.2581,$ 0,$ 0.2581
12/01/25 12:00:00,Twin Lakes (WI),20101217,Pallet,FulfillmentCenter = Twin Lakes (WI) | 1 pallet(s) @$30/month/pallet,0%,$ 0.9677,$ 0,$ 0.9677
12/01/25 12:00:00,Twin Lakes (WI),20101217,Shelf,FulfillmentCenter = Twin Lakes (WI) | 1 shelf(s) @$8/month/shelf,0%,$ 0.2581,$ 0,$ 0.2581
12/01/25 12:00:00,Ontario 6 (CA),20101228,Shelf,FulfillmentCenter = Ontario 6 (CA) | 1 shelf(s) @$8/month/shelf,0%,$ 0.2581,$ 0,$ 0.2581
